khipu_id,template_cluster
1000000,0
1000001,1
1000002,0
1000003,0
1000004,0
1000005,0
1000006,2
1000007,2
1000008,2
1000009,2
1000010,2
1000011,0
1000012,2
1000013,1
1000014,1
1000015,0
1000017,0
1000018,-1
1000019,0
1000020,-1
1000021,0
1000022,0
1000023,-1
1000024,-1
1000025,-1
1000026,0
1000027,0
1000028,0
1000029,2
1000030,0
1000031,1
1000032,0
1000033,0
1000034,0
1000035,0
1000036,1
1000037,0
1000038,0
1000039,1
1000040,0
1000041,1
1000042,0
1000043,0
1000044,0
1000045,-1
1000046,0
1000047,0
1000048,1
1000049,0
1000050,0
1000051,1
1000052,2
1000053,-1
1000054,1
1000055,0
1000056,1
1000057,-1
1000058,0
1000059,0
1000060,2
1000061,2
1000062,2
1000063,-1
1000064,1
1000065,1
1000066,1
1000067,0
1000068,1
1000069,0
1000070,0
1000071,1
1000072,1
1000073,1
1000074,0
1000075,0
1000076,0
1000077,-1
1000078,0
1000079,0
1000080,1
1000081,0
1000082,1
1000083,2
1000084,1
1000085,-1
1000086,1
1000087,0
1000088,-1
1000089,-1
1000090,0
1000091,0
1000092,1
1000093,0
1000094,2
1000096,-1
1000097,2
1000098,0
1000099,1
1000100,1
1000101,0
1000103,-1
1000105,1
1000106,1
1000107,1
1000108,1
1000109,2
1000110,1
1000111,0
1000112,1
1000113,1
1000114,0
1000115,0
1000116,1
1000117,0
1000118,1
1000119,1
1000120,0
1000121,0
1000122,1
1000123,1
1000124,1
1000125,2
1000126,2
1000127,0
1000128,0
1000129,1
1000130,0
1000131,1
1000132,0
1000133,1
1000134,1
1000135,1
1000136,1
1000137,0
1000138,0
1000139,0
1000140,-1
1000141,1
1000142,1
1000143,1
1000144,2
1000145,0
1000146,3
1000147,-1
1000148,2
1000149,1
1000150,0
1000151,0
1000152,0
1000154,1
1000155,1
1000156,0
1000157,1
1000158,2
1000159,0
1000160,1
1000161,1
1000162,0
1000163,1
1000164,0
1000165,0
1000166,0
1000167,0
1000168,1
1000169,1
1000170,0
1000171,1
1000172,1
1000173,1
1000174,1
1000176,1
1000177,0
1000178,0
1000179,0
1000180,0
1000182,1
1000183,-1
1000184,1
1000185,2
1000186,1
1000187,0
1000188,0
1000189,0
1000190,1
1000191,1
1000192,0
1000194,0
1000195,1
1000196,1
1000197,0
1000198,2
1000199,0
1000200,0
1000201,3
1000204,1
1000205,1
1000206,0
1000207,0
1000208,3
1000209,2
1000210,3
1000211,0
1000212,0
1000213,1
1000214,0
1000216,0
1000217,1
1000218,1
1000220,0
1000221,1
1000222,0
1000223,0
1000224,1
1000225,1
1000226,1
1000227,2
1000228,1
1000229,0
1000230,0
1000231,0
1000232,0
1000233,0
1000234,1
1000235,3
1000236,0
1000238,-1
1000239,2
1000240,1
1000241,0
1000242,1
1000243,0
1000244,0
1000245,0
1000246,1
1000247,1
1000248,1
1000249,0
1000250,1
1000251,0
1000252,1
1000253,1
1000254,1
1000255,0
1000256,1
1000257,0
1000258,1
1000259,1
1000260,0
1000261,0
1000262,1
1000263,0
1000264,0
1000265,0
1000266,0
1000267,1
1000268,1
1000269,0
1000270,0
1000271,0
1000272,0
1000273,-1
1000274,0
1000275,-1
1000276,0
1000277,1
1000279,-1
1000280,-1
1000283,0
1000285,2
1000287,-1
1000288,0
1000289,0
1000290,0
1000291,1
1000292,-1
1000293,2
1000295,0
1000296,1
1000297,1
1000298,3
1000299,3
1000300,2
1000301,2
1000302,2
1000303,0
1000304,0
1000305,2
1000306,0
1000307,0
1000309,0
1000310,0
1000312,1
1000313,0
1000314,3
1000315,0
1000316,2
1000317,0
1000318,2
1000319,2
1000320,3
1000321,-1
1000322,0
1000323,2
1000324,0
1000325,0
1000326,1
1000327,2
1000328,1
1000329,2
1000330,1
1000331,-1
1000332,0
1000333,0
1000335,1
1000336,1
1000337,3
1000338,1
1000339,3
1000340,3
1000342,-1
1000344,-1
1000345,2
1000346,1
1000347,0
1000348,1
1000349,0
1000350,1
1000351,0
1000352,2
1000353,2
1000354,1
1000355,1
1000356,0
1000357,1
1000358,2
1000359,-1
1000361,-1
1000363,-1
1000365,1
1000366,0
1000367,2
1000368,-1
1000369,-1
1000371,0
1000374,1
1000375,0
1000376,-1
1000377,0
1000378,1
1000380,3
1000381,1
1000382,1
1000383,1
1000385,1
1000386,0
1000387,2
1000388,2
1000389,0
1000390,0
1000392,0
1000393,1
1000395,1
1000396,2
1000397,0
1000398,0
1000399,1
1000400,2
1000401,2
1000402,0
1000403,2
1000404,0
1000405,0
1000406,2
1000407,0
1000408,0
1000409,0
1000410,0
1000411,1
1000412,1
1000413,2
1000414,0
1000415,0
1000416,1
1000417,0
1000418,3
1000419,1
1000420,1
1000421,0
1000422,0
1000423,3
1000424,0
1000425,0
1000426,0
1000427,2
1000428,0
1000429,1
1000430,0
1000431,0
1000432,2
1000433,0
1000434,1
1000435,0
1000436,0
1000437,0
1000438,1
1000439,0
1000440,0
1000441,1
1000442,0
1000443,0
1000444,1
1000445,1
1000446,0
1000447,1
1000448,2
1000449,0
1000450,0
1000451,1
1000452,1
1000453,1
1000454,1
1000455,0
1000456,0
1000457,1
1000458,1
1000459,1
1000460,1
1000461,-1
1000462,1
1000463,1
1000464,-1
1000465,-1
1000466,-1
1000467,-1
1000468,-1
1000469,-1
1000470,-1
1000472,3
1000474,0
1000475,0
1000477,2
1000478,1
1000479,1
1000480,0
1000481,1
1000482,1
1000483,0
1000485,1
1000486,1
1000487,1
1000488,2
1000489,1
1000490,0
1000491,1
1000492,1
1000493,3
1000494,2
1000495,2
1000496,1
1000497,0
1000499,0
1000500,0
1000501,-1
1000502,0
1000503,0
1000504,3
1000505,2
1000506,0
1000507,0
1000508,-1
1000509,-1
1000510,1
1000511,1
1000512,2
1000513,2
1000514,2
1000515,2
1000516,2
1000517,0
1000518,2
1000519,0
1000520,0
1000521,0
1000522,1
1000523,-1
1000524,2
1000525,1
1000526,3
1000527,3
1000528,2
1000529,1
1000530,1
1000531,1
1000532,1
1000533,0
1000534,1
1000535,1
1000536,0
1000537,1
1000538,1
1000539,-1
1000540,2
1000541,-1
1000542,0
1000543,0
1000544,1
1000545,2
1000546,-1
1000547,-1
1000548,0
1000549,2
1000550,1
1000551,1
1000552,2
1000553,0
1000554,2
1000555,1
1000556,1
1000558,1
1000559,0
1000560,0
1000561,1
1000562,0
1000563,1
1000564,0
1000565,-1
1000566,0
1000567,-1
1000569,0
1000570,2
1000571,0
1000572,1
1000573,2
1000574,-1
1000575,2
1000576,3
1000577,0
1000578,1
1000579,1
1000580,0
1000581,1
1000582,1
1000583,0
1000584,0
1000585,2
1000586,2
1000587,0
1000588,-1
1000589,0
1000590,2
1000591,2
1000592,2
1000593,1
1000595,2
1000597,2
1000598,3
1000599,2
1000600,0
1000601,2
1000602,0
1000603,-1
1000604,-1
1000605,-1
1000606,2
1000607,2
1000608,0
1000609,3
1000610,3
1000611,-1
1000612,-1
1000613,3
1000614,2
1000615,0
1000616,0
1000617,-1
1000618,2
1000619,0
1000620,0
1000621,2
1000622,3
1000623,-1
1000624,-1
1000625,1
1000626,1
1000627,1
1000628,2
1000629,2
1000630,0
1000631,0
1000632,1
1000633,2
1000634,-1
1000635,3
1000636,1
1000637,2
1000638,0
1000639,1
1000640,1
1000641,1
1000642,0
1000643,0
1000644,0
1000645,0
1000646,2
1000647,3
1000648,-1
1000649,1
1000650,0
1000651,1
1000652,1
1000653,1
1000654,0
1000655,1
1000656,1
1000657,1
1000658,2
1000659,0
1000660,1
1000661,1
