khipu_id,depth,avg_branching,branching_variance,branching_cv,structural_cv,density,variance_class
1000000,2.0,3.0,5.656854249492381,0.628539361054709,0.628539361054709,0.0526315789473684,medium
1000001,1.0,6.0,0.0,0.0,0.0,0.1428571428571428,low
1000002,2.0,4.285714285714286,12.727922061357855,0.848528137423857,0.848528137423857,0.032258064516129,high
1000003,2.0,4.75,16.97056274847714,0.8931875130777441,0.8931875130777441,0.0256410256410256,high
1000004,2.0,10.352941176470589,100.40916292848975,1.1410132150964745,1.1410132150964745,0.0056497175141242,high
1000005,2.0,4.428571428571429,25.45584412271571,0.8211562620230874,0.8211562620230874,0.0158730158730158,high
1000006,3.0,2.4242424242424243,22.89832599412746,0.8586872247797798,0.8586872247797798,0.0123456790123456,high
1000007,3.0,3.2358490566037736,79.95206897468842,0.6992892330147675,0.6992892330147675,0.002906976744186,medium
1000008,3.0,4.538461538461538,14.011899704655802,0.712469476507922,0.712469476507922,0.0166666666666666,high
1000009,3.0,2.423076923076923,17.435595774162696,0.41513323271815944,0.41513323271815944,0.0078740157480314,medium
1000010,3.0,8.8,30.92463958291727,1.0542490766903614,1.0542490766903614,0.0112359550561797,high
1000011,2.0,2.933333333333333,1.4142135623730951,0.0642824346533225,0.0642824346533225,0.0222222222222222,low
1000012,3.0,3.135135135135135,34.019602192461534,0.8798172980809018,0.8798172980809018,0.0085470085470085,high
1000013,1.0,30.0,0.0,0.0,0.0,0.032258064516129,low
1000014,1.0,37.0,0.0,0.0,0.0,0.0263157894736842,low
1000015,2.0,10.666666666666666,19.79898987322333,1.2374368670764582,1.2374368670764582,0.0303030303030303,high
1000017,2.0,3.9,14.849242404917497,0.7614996105085896,0.7614996105085896,0.025,high
1000018,3.0,2.6467065868263475,125.02133151319951,0.8485610736190011,0.8485610736190011,0.0022573363431151,high
1000019,2.0,13.666666666666666,94.75230867899737,1.1555159594999678,1.1555159594999678,0.006060606060606,high
1000020,5.0,3.6445497630331753,178.18164888674704,1.1585282762467297,1.1585282762467297,0.001295332423737,high
1000021,2.0,4.88,44.29070632386287,1.452154305700422,1.452154305700422,0.008130081300813,high
1000022,2.0,8.1,77.78174593052023,0.9602684682780276,0.9602684682780276,0.0061349693251533,high
1000023,3.0,7.15,186.83147486438145,1.3065138102404297,1.3065138102404297,0.0017452006980802,high
1000024,3.0,6.741176470588235,202.77031340903923,1.7693744625570615,1.7693744625570615,0.0017421602787456,high
1000025,3.0,8.323809523809524,249.35256164715852,1.426502068919671,1.426502068919671,0.0011428571428571,high
1000026,2.0,2.0,1.4142135623730951,0.15713484026367724,0.15713484026367724,0.0526315789473684,low
1000027,2.0,2.2222222222222223,2.8284271247461903,0.282842712474619,0.282842712474619,0.0476190476190476,low
1000028,2.0,3.0,0.7071067811865476,0.06734350297014739,0.06734350297014739,0.0454545454545454,low
1000029,3.0,7.4411764705882355,93.41796757940448,1.476963914298885,1.476963914298885,0.0039370078740157,high
1000030,2.0,2.5454545454545454,4.242640687119285,0.3030457633656632,0.3030457633656632,0.0344827586206896,medium
1000031,1.0,14.0,0.0,0.0,0.0,0.0666666666666666,low
1000032,2.0,3.25,21.920310216782973,0.30657776526969194,0.30657776526969194,0.0069444444444444,medium
1000033,2.0,3.5789473684210527,22.627416997969522,0.6655122646461624,0.6655122646461624,0.0144927536231884,medium
1000034,2.0,3.125,29.65355515504563,1.1861422062018252,1.1861422062018252,0.0099009900990099,high
1000035,2.0,1.894736842105263,0.0,0.0,0.0,0.027027027027027,low
1000036,1.0,20.0,0.0,0.0,0.0,0.0476190476190476,low
1000037,2.0,6.166666666666667,12.010412149464313,1.2984229350772232,1.2984229350772232,0.0263157894736842,high
1000038,2.0,1.6666666666666667,0.7071067811865476,0.282842712474619,0.282842712474619,0.1666666666666666,low
1000039,1.0,64.0,0.0,0.0,0.0,0.0153846153846153,low
1000040,2.0,7.769230769230769,41.71930009000631,0.8261247542575506,0.8261247542575506,0.0098039215686274,high
1000041,1.0,48.0,0.0,0.0,0.0,0.0204081632653061,low
1000042,2.0,9.125,41.71930009000631,1.1429945230138714,1.1429945230138714,0.0135135135135135,high
1000043,2.0,2.1,2.1213203435596424,0.20203050891044214,0.20203050891044214,0.0454545454545454,low
1000044,2.0,2.1538461538461537,2.8284271247461903,0.20203050891044216,0.20203050891044216,0.0344827586206896,low
1000045,2.0,8.486486486486486,154.14927829866735,0.981842536934187,0.981842536934187,0.0031746031746031,high
1000046,2.0,10.0,11.313708498984761,1.131370849898476,1.131370849898476,0.0476190476190476,high
1000047,2.0,2.4482758620689653,10.606601717798213,0.29877751317741447,0.29877751317741447,0.0138888888888888,low
1000048,1.0,21.0,0.0,0.0,0.0,0.0454545454545454,low
1000049,2.0,2.2,1.4142135623730951,0.128564869306645,0.128564869306645,0.0434782608695652,low
1000050,2.0,9.0,31.11269837220809,1.152322161933633,1.152322161933633,0.0181818181818181,high
1000051,1.0,29.0,0.0,0.0,0.0,0.0333333333333333,low
1000052,3.0,5.25,17.578395831246947,1.2555997022319247,1.2555997022319247,0.0232558139534883,high
1000053,1.0,287.0,0.0,0.0,0.0,0.0034722222222222,low
1000054,1.0,20.0,0.0,0.0,0.0,0.0476190476190476,low
1000055,2.0,2.2,2.1213203435596424,0.385694607919935,0.385694607919935,0.0833333333333333,medium
1000056,1.0,42.0,0.0,0.0,0.0,0.0232558139534883,low
1000057,1.0,163.0,0.0,0.0,0.0,0.0060975609756097,low
1000058,2.0,3.117647058823529,12.020815280171307,0.45361567094986066,0.45361567094986066,0.0185185185185185,medium
1000059,2.0,5.0,7.7781745930520225,1.0370899457402696,1.0370899457402696,0.0625,high
1000060,3.0,1.9285714285714288,6.928203230275509,0.7698003589195009,0.7698003589195009,0.0357142857142857,high
1000061,3.0,2.333333333333333,0.5773502691896258,0.24743582965269678,0.24743582965269678,0.125,low
1000062,3.0,2.333333333333333,1.1547005383792515,0.49487165930539345,0.49487165930539345,0.125,medium
1000063,2.0,18.789473684210527,226.98127676088177,1.271603791377489,1.271603791377489,0.0027932960893854,high
1000064,1.0,23.0,0.0,0.0,0.0,0.0416666666666666,low
1000065,1.0,101.0,0.0,0.0,0.0,0.0098039215686274,low
1000066,1.0,7.0,0.0,0.0,0.0,0.125,low
1000067,2.0,6.5,4.949747468305833,0.7614996105085896,0.7614996105085896,0.0714285714285714,high
1000068,1.0,8.0,0.0,0.0,0.0,0.1111111111111111,low
1000069,2.0,3.0,2.8284271247461903,0.9428090415820635,0.9428090415820635,0.1428571428571428,high
1000070,2.0,3.6666666666666665,4.949747468305833,0.899954085146515,0.899954085146515,0.0833333333333333,high
1000071,1.0,55.0,28.991378028648448,1.054231928314489,1.054231928314489,0.0178571428571428,high
1000072,1.0,13.0,0.0,0.0,0.0,0.0714285714285714,low
1000073,1.0,11.0,0.0,0.0,0.0,0.0833333333333333,low
1000074,2.0,10.0,7.0710678118654755,0.7071067811865476,0.7071067811865476,0.0476190476190476,high
1000075,2.0,2.2,2.1213203435596424,0.385694607919935,0.385694607919935,0.0833333333333333,medium
1000076,2.0,7.2,19.79898987322333,1.0999438818457405,1.0999438818457405,0.027027027027027,high
1000077,2.0,140.5,197.28279195104676,1.404147985416703,1.404147985416703,0.0035460992907801,high
1000078,2.0,4.5,4.949747468305833,1.0999438818457405,1.0999438818457405,0.1,high
1000079,2.0,4.086956521739131,32.526911934581186,0.6920619560549188,0.6920619560549188,0.0105263157894736,medium
1000080,1.0,35.0,0.0,0.0,0.0,0.0277777777777777,low
1000081,2.0,5.6,12.727922061357855,0.9091372900969896,0.9091372900969896,0.0344827586206896,high
1000082,1.0,16.0,0.0,0.0,0.0,0.0588235294117647,low
1000083,3.0,3.738095238095238,48.04511768466525,0.9180595735923296,0.9180595735923296,0.0063291139240506,high
1000084,1.0,6.0,0.0,0.0,0.0,0.1428571428571428,low
1000085,2.0,13.761904761904765,176.06958851545033,1.2184746610065766,1.2184746610065766,0.0034482758620689,high
1000086,1.0,14.0,0.0,0.0,0.0,0.0666666666666666,low
1000087,2.0,2.1538461538461537,2.8284271247461903,0.20203050891044216,0.20203050891044216,0.0344827586206896,low
1000088,1.0,195.0,0.0,0.0,0.0,0.0051020408163265,low
1000089,2.0,2.0211267605633805,3.5355339059327378,0.024637866940297824,0.024637866940297824,0.0034722222222222,low
1000090,2.0,5.0,4.949747468305833,0.6599663291074443,0.6599663291074443,0.0625,medium
1000091,2.0,16.333333333333332,31.81980515339464,1.298767557281414,1.298767557281414,0.02,high
1000092,1.0,13.0,0.0,0.0,0.0,0.0714285714285714,low
1000093,2.0,11.5,14.849242404917497,1.2912384699928259,1.2912384699928259,0.0416666666666666,high
1000094,3.0,3.313953488372093,90.26627277117406,0.950171292328148,0.950171292328148,0.0034965034965034,high
1000096,3.0,13.268115942028986,903.969210390118,1.4811073900438851,1.4811073900438851,0.0005458515283842,high
1000097,3.0,3.954545454545455,24.515301344262525,0.8453552187676733,0.8453552187676733,0.0113636363636363,high
1000098,2.0,4.454545454545454,12.020815280171307,0.4906455216396452,0.4906455216396452,0.02,medium
1000099,1.0,43.0,0.0,0.0,0.0,0.0227272727272727,low
1000100,1.0,25.0,0.0,0.0,0.0,0.0384615384615384,low
1000101,2.0,7.0,11.313708498984761,0.8081220356417687,0.8081220356417687,0.0344827586206896,high
1000103,2.0,4.7043478260869565,204.35385976291224,0.7554671340588253,0.7554671340588253,0.0018450184501845,high
1000105,1.0,12.0,0.0,0.0,0.0,0.0769230769230769,low
1000106,1.0,18.0,0.0,0.0,0.0,0.0526315789473684,low
1000107,1.0,15.0,0.0,0.0,0.0,0.0625,low
1000108,1.0,25.0,0.0,0.0,0.0,0.0384615384615384,low
1000109,3.0,2.5,1.1547005383792515,0.3464101615137754,0.3464101615137754,0.0909090909090909,medium
1000110,1.0,21.0,0.0,0.0,0.0,0.0454545454545454,low
1000111,2.0,5.5,4.949747468305833,0.899954085146515,0.899954085146515,0.0833333333333333,high
1000112,1.0,4.0,0.0,0.0,0.0,0.2,low
1000113,1.0,35.0,0.0,0.0,0.0,0.0277777777777777,low
1000114,2.0,7.0,8.48528137423857,1.2121830534626528,1.2121830534626528,0.0666666666666666,high
1000115,2.0,17.272727272727273,120.20815280171308,1.2653489768601378,1.2653489768601378,0.0052356020942408,high
1000116,1.0,20.0,0.0,0.0,0.0,0.0476190476190476,low
1000117,2.0,2.571428571428572,4.242640687119285,0.4714045207910316,0.4714045207910316,0.0526315789473684,medium
1000118,1.0,30.0,0.0,0.0,0.0,0.032258064516129,low
1000119,1.0,62.0,0.0,0.0,0.0,0.0158730158730158,low
1000120,2.0,30.0,60.81118318204309,1.3513596262676242,1.3513596262676242,0.0109890109890109,high
1000121,2.0,8.785714285714286,68.58935777509511,1.1152741101641481,1.1152741101641481,0.0080645161290322,high
1000122,1.0,18.0,0.0,0.0,0.0,0.0526315789473684,low
1000123,1.0,20.0,0.0,0.0,0.0,0.0476190476190476,low
1000124,1.0,112.0,0.0,0.0,0.0,0.0088495575221238,low
1000125,3.0,3.1538461538461537,13.012814197295423,0.95215713638747,0.95215713638747,0.0238095238095238,high
1000126,3.0,2.473684210526316,10.214368964029708,0.651980997704024,0.651980997704024,0.0208333333333333,medium
1000127,2.0,4.916666666666667,29.698484809834994,0.5033641493192372,0.5033641493192372,0.0084033613445378,medium
1000128,2.0,2.5,1.4142135623730951,0.07071067811865475,0.07071067811865475,0.024390243902439,low
1000129,1.0,3.0,0.0,0.0,0.0,0.25,low
1000130,2.0,2.25,2.1213203435596424,0.4714045207910316,0.4714045207910316,0.1,medium
1000131,1.0,65.0,0.0,0.0,0.0,0.0151515151515151,low
1000132,2.0,2.0,1.4142135623730951,0.0831890330807703,0.0831890330807703,0.0285714285714285,low
1000133,1.0,18.0,0.0,0.0,0.0,0.0526315789473684,low
1000134,1.0,8.0,0.0,0.0,0.0,0.1111111111111111,low
1000135,1.0,16.0,0.0,0.0,0.0,0.0588235294117647,low
1000136,1.0,5.0,0.0,0.0,0.0,0.1666666666666666,low
1000137,2.0,13.5,17.67766952966369,1.3094570021973102,1.3094570021973102,0.0357142857142857,high
1000138,2.0,3.0,7.7781745930520225,0.4714045207910317,0.4714045207910317,0.0294117647058823,medium
1000139,2.0,7.0,12.020815280171307,1.1448395504925055,1.1448395504925055,0.0454545454545454,high
1000140,3.0,4.022222222222222,101.50041050820106,0.8411636229961413,0.8411636229961413,0.0027548209366391,high
1000141,1.0,9.0,0.0,0.0,0.0,0.1,low
1000142,1.0,18.0,0.0,0.0,0.0,0.0526315789473684,low
1000143,1.0,30.0,0.0,0.0,0.0,0.032258064516129,low
1000144,3.0,5.0,52.348193219378004,1.256356637265072,1.256356637265072,0.0079365079365079,high
1000145,2.0,12.0,15.556349186104045,1.296362432175337,1.296362432175337,0.04,high
1000146,4.0,2.269230769230769,15.195942440884233,1.0302333858226598,1.0302333858226598,0.0166666666666666,high
1000147,4.0,3.1296296296296298,101.16158691255622,1.1971785433438606,1.1971785433438606,0.0029498525073746,high
1000148,3.0,5.941176470588236,106.78951259369995,1.0573219068683164,1.0573219068683164,0.0032894736842105,high
1000149,1.0,15.0,0.0,0.0,0.0,0.0625,low
1000150,2.0,15.0,19.79898987322333,1.3199326582148887,1.3199326582148887,0.032258064516129,high
1000151,2.0,14.0,18.384776310850235,1.313198307917874,1.313198307917874,0.0344827586206896,high
1000152,2.0,5.0,13.435028842544403,0.7677159338596802,0.7677159338596802,0.0277777777777777,high
1000154,1.0,5.0,0.0,0.0,0.0,0.1666666666666666,low
1000155,1.0,1.0,0.0,0.0,0.0,0.5,low
1000156,2.0,1.75,0.7071067811865476,0.20203050891044216,0.20203050891044216,0.125,low
1000157,1.0,9.0,0.0,0.0,0.0,0.1,low
1000158,3.0,4.285714285714286,11.357816691600547,1.1357816691600546,1.1357816691600546,0.032258064516129,high
1000159,2.0,2.909090909090909,0.0,0.0,0.0,0.0153846153846153,low
1000160,1.0,3.0,0.0,0.0,0.0,0.25,low
1000161,1.0,12.0,0.0,0.0,0.0,0.0769230769230769,low
1000162,2.0,2.6923076923076925,7.7781745930520225,0.4444671196029727,0.4444671196029727,0.0277777777777777,medium
1000163,1.0,19.0,0.0,0.0,0.0,0.05,low
1000164,2.0,43.0,38.78573620976316,1.3529907980149938,1.3529907980149938,0.0114942528735632,high
1000165,2.0,2.2857142857142856,7.0710678118654755,0.2209708691207961,0.2209708691207961,0.0153846153846153,low
1000166,2.0,14.0,13.576941236277534,1.45467227531545,1.45467227531545,0.0344827586206896,high
1000167,2.0,2.4,4.242640687119285,0.35355339059327373,0.35355339059327373,0.04,medium
1000168,1.0,3.0,0.0,0.0,0.0,0.25,low
1000169,1.0,20.0,0.0,0.0,0.0,0.0476190476190476,low
1000170,2.0,2.45,6.363961030678928,0.2597535114562828,0.2597535114562828,0.02,low
1000171,1.0,15.0,0.0,0.0,0.0,0.0625,low
1000172,1.0,27.0,0.0,0.0,0.0,0.0357142857142857,low
1000173,1.0,8.0,0.0,0.0,0.0,0.1111111111111111,low
1000174,1.0,25.0,0.0,0.0,0.0,0.0384615384615384,low
1000176,1.0,38.0,0.0,0.0,0.0,0.0256410256410256,low
1000177,2.0,1.5333333333333334,5.188127472091127,0.9022830386245438,0.9022830386245438,0.0283251231527093,high
1000178,2.0,1.8823529411764703,0.0,0.0,0.0,0.0303030303030303,low
1000179,2.0,4.333333333333333,11.313708498984761,0.8702852691526739,0.8702852691526739,0.037037037037037,high
1000180,2.0,7.0,45.96194077712559,0.875465538611916,0.875465538611916,0.0094339622641509,high
1000182,1.0,3.0,0.0,0.0,0.0,0.25,low
1000183,3.0,19.0,273.4744046524281,1.8572115765869481,1.8572115765869481,0.0016949152542372,high
1000184,1.0,90.0,62.22539674441618,1.3827865943203597,1.3827865943203597,0.0109890109890109,high
1000185,3.0,2.2058823529411766,19.313207915827967,0.7725283166331187,0.7725283166331187,0.0131578947368421,high
1000186,1.0,12.0,0.0,0.0,0.0,0.0769230769230769,low
1000187,2.0,5.5,2.1213203435596424,0.385694607919935,0.385694607919935,0.0833333333333333,medium
1000188,2.0,1.95,0.7071067811865476,0.03626188621469475,0.03626188621469475,0.025,low
1000189,2.0,5.0,5.656854249492381,1.131370849898476,1.131370849898476,0.0909090909090909,high
1000190,1.0,9.0,0.0,0.0,0.0,0.1,low
1000191,1.0,10.0,0.0,0.0,0.0,0.0909090909090909,low
1000192,2.0,5.769230769230769,25.514701644346147,1.020588065773846,1.020588065773846,0.0131578947368421,high
1000194,2.0,4.0,4.242640687119285,1.0606601717798212,1.0606601717798212,0.1111111111111111,high
1000195,1.0,3.0,0.0,0.0,0.0,0.25,low
1000196,1.0,2.0,0.0,0.0,0.0,0.3333333333333333,low
1000197,2.0,3.5,21.920310216782973,0.5693587069294279,0.5693587069294279,0.0128205128205128,medium
1000198,3.0,2.3008849557522124,63.51640208114226,0.7328815624747184,0.7328815624747184,0.003831417624521,high
1000199,2.0,3.5,7.0710678118654755,0.5050762722761054,0.5050762722761054,0.0344827586206896,medium
1000200,2.0,8.0,29.698484809834994,1.0606601717798212,1.0606601717798212,0.0175438596491228,high
1000201,4.0,3.575,40.392862405793096,1.1298702770851217,1.1298702770851217,0.0069444444444444,high
1000204,1.0,16.0,0.0,0.0,0.0,0.0588235294117647,low
1000205,1.0,4.0,0.0,0.0,0.0,0.2,low
1000206,2.0,3.0,2.8284271247461903,0.47140452079103173,0.47140452079103173,0.0769230769230769,medium
1000207,2.0,19.0,25.45584412271571,1.3397812696166163,1.3397812696166163,0.0256410256410256,high
1000208,4.0,2.3684210526315788,11.954775893619532,1.062646746099514,1.062646746099514,0.0217391304347826,high
1000209,3.0,2.8,14.047538337136984,0.7525466966323384,0.7525466966323384,0.0175438596491228,high
1000210,4.0,3.5,5.0,1.4285714285714286,1.4285714285714286,0.0666666666666666,high
1000211,2.0,14.5,17.67766952966369,1.2191496227354268,1.2191496227354268,0.0333333333333333,high
1000212,2.0,4.818181818181818,19.091883092036785,0.7204484185674258,0.7204484185674258,0.0185185185185185,high
1000213,1.0,36.0,0.0,0.0,0.0,0.027027027027027,low
1000214,2.0,5.0,12.737739202856996,1.1322434846983997,1.1322434846983997,0.0217391304347826,high
1000216,2.0,5.0,5.656854249492381,1.131370849898476,1.131370849898476,0.0909090909090909,high
